Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Nogent-le-Rotrou;48.32;0.82;29/09/2026;2;NUAGEUX;26.5;13.9
Nogent-le-Rotrou;48.32;0.82;30/09/2026;7;PLUIE FAIBLE;23.6;17.1
Nogent-le-Rotrou;48.32;0.82;01/10/2026;7;PLUIE FAIBLE;19.1;13.9
Nogent-le-Rotrou;48.32;0.82;02/10/2026;0;SOLEIL;19.1;9
Nogent-le-Rotrou;48.32;0.82;03/10/2026;0;SOLEIL;19.9;8.2
Châteauroux;46.81;1.69;26/09/2026;2;NUAGEUX;25.2;14
Châteauroux;46.81;1.69;27/09/2026;5;SOLEIL VOILÉ;32.4;14.9
Châteauroux;46.81;1.69;28/09/2026;5;SOLEIL VOILÉ;27.1;17
Châteauroux;46.81;1.69;29/09/2026;0;SOLEIL;30.4;16.4
Châteauroux;46.81;1.69;30/09/2026;2;NUAGEUX;27.5;18.6
Châteauroux;46.81;1.69;01/10/2026;6;AVERSES;20.7;16.1
Châteauroux;46.81;1.69;02/10/2026;7;PLUIE FAIBLE;21.1;11.6
Châteauroux;46.81;1.69;03/10/2026;0;SOLEIL;22.5;10.1
Écueillé;47.08;1.34;26/09/2026;2;NUAGEUX;24.2;10.6
Écueillé;47.08;1.34;27/09/2026;5;SOLEIL VOILÉ;30.1;13.6
Écueillé;47.08;1.34;28/09/2026;10;ORAGEUX;26.2;15.2
Écueillé;47.08;1.34;29/09/2026;2;NUAGEUX;29.4;16.2
Écueillé;47.08;1.34;30/09/2026;7;PLUIE FAIBLE;26.4;17.9
Écueillé;47.08;1.34;01/10/2026;6;AVERSES;20.2;14.7
Écueillé;47.08;1.34;02/10/2026;7;PLUIE FAIBLE;20.6;10.9
Écueillé;47.08;1.34;03/10/2026;0;SOLEIL;22.1;9.5
Éguzon-Chantôme;46.44;1.58;26/09/2026;0;SOLEIL;25.7;12.1
Éguzon-Chantôme;46.44;1.58;27/09/2026;5;SOLEIL VOILÉ;32;12.4
Éguzon-Chantôme;46.44;1.58;28/09/2026;5;SOLEIL VOILÉ;27.5;15.4
Éguzon-Chantôme;46.44;1.58;29/09/2026;0;SOLEIL;29.4;15.6
Éguzon-Chantôme;46.44;1.58;30/09/2026;7;PLUIE FAIBLE;26.6;18.1
Éguzon-Chantôme;46.44;1.58;01/10/2026;6;AVERSES;20.2;14.9
Éguzon-Chantôme;46.44;1.58;02/10/2026;7;PLUIE FAIBLE;20.5;10.4
Éguzon-Chantôme;46.44;1.58;03/10/2026;0;SOLEIL;22;8.7
Le Blanc;46.63;1.06;26/09/2026;2;NUAGEUX;26.6;13.1
Le Blanc;46.63;1.06;27/09/2026;5;SOLEIL VOILÉ;32.5;11.9
Le Blanc;46.63;1.06;28/09/2026;5;SOLEIL VOILÉ;26.7;15.7
Le Blanc;46.63;1.06;29/09/2026;2;NUAGEUX;30.2;15.9
Le Blanc;46.63;1.06;30/09/2026;2;NUAGEUX;27.1;18.5
Le Blanc;46.63;1.06;01/10/2026;6;AVERSES;21.2;15.4
Le Blanc;46.63;1.06;02/10/2026;7;PLUIE FAIBLE;21.6;10.6
Le Blanc;46.63;1.06;03/10/2026;0;SOLEIL;23.1;9
Chinon;47.16;0.24;26/09/2026;2;NUAGEUX;25.1;11.1
Chinon;47.16;0.24;27/09/2026;5;SOLEIL VOILÉ;30.1;11.4
Chinon;47.16;0.24;28/09/2026;5;SOLEIL VOILÉ;24.7;16.1
Chinon;47.16;0.24;29/09/2026;2;NUAGEUX;29.1;15.6
Chinon;47.16;0.24;30/09/2026;7;PLUIE FAIBLE;25.6;17.6
Chinon;47.16;0.24;01/10/2026;6;AVERSES;21.1;14.4
Chinon;47.16;0.24;02/10/2026;7;PLUIE FAIBLE;21.6;10.5
Chinon;47.16;0.24;03/10/2026;0;SOLEIL;22.5;9.1
Le Grand-Pressigny;46.92;0.8;26/09/2026;0;SOLEIL;26.1;11.4
Le Grand-Pressigny;46.92;0.8;27/09/2026;5;SOLEIL VOILÉ;30.2;10.2
Le Grand-Pressigny;46.92;0.8;28/09/2026;5;SOLEIL VOILÉ;25.9;15
Le Grand-Pressigny;46.92;0.8;29/09/2026;2;NUAGEUX;29;14.6
Le Grand-Pressigny;46.92;0.8;30/09/2026;2;NUAGEUX;26;16.6
Le Grand-Pressigny;46.92;0.8;01/10/2026;6;AVERSES;20.7;14.1
Le Grand-Pressigny;46.92;0.8;02/10/2026;0;SOLEIL;21.1;10
Le Grand-Pressigny;46.92;0.8;03/10/2026;0;SOLEIL;22.2;7.6
Tours;47.39;0.68;26/09/2026;2;NUAGEUX;25;14.2
Tours;47.39;0.68;27/09/2026;5;SOLEIL VOILÉ;29.6;12.9
Tours;47.39;0.68;28/09/2026;5;SOLEIL VOILÉ;24.4;16.5
Tours;47.39;0.68;29/09/2026;2;NUAGEUX;28.1;15.6
Tours;47.39;0.68;30/09/2026;2;NUAGEUX;25.2;17.7
Tours;47.39;0.68;01/10/2026;7;PLUIE FAIBLE;20.9;15.4
Tours;47.39;0.68;02/10/2026;0;SOLEIL;21.1;11.1
Tours;47.39;0.68;03/10/2026;0;SOLEIL;21.9;10.4
Blois;47.58;1.33;26/09/2026;2;NUAGEUX;25;12.6
Blois;47.58;1.33;27/09/2026;5;SOLEIL VOILÉ;29.5;12.2
Blois;47.58;1.33;28/09/2026;6;AVERSES;25.2;15.2
Blois;47.58;1.33;29/09/2026;2;NUAGEUX;29.6;14.9
Blois;47.58;1.33;30/09/2026;2;NUAGEUX;26;17
Blois;47.58;1.33;01/10/2026;6;AVERSES;20.9;14.9
Blois;47.58;1.33;02/10/2026;7;PLUIE FAIBLE;21;10.1
Blois;47.58;1.33;03/10/2026;0;SOLEIL;22.2;8.7
Romorantin-Lanthenay;47.35;1.74;26/09/2026;2;NUAGEUX;26.2;10.4
Romorantin-Lanthenay;47.35;1.74;27/09/2026;5;SOLEIL VOILÉ;30.1;9
Romorantin-Lanthenay;47.35;1.74;28/09/2026;5;SOLEIL VOILÉ;27.1;14
Romorantin-Lanthenay;47.35;1.74;29/09/2026;0;SOLEIL;29.6;13.9
Romorantin-Lanthenay;47.35;1.74;30/09/2026;2;NUAGEUX;26.1;16.2
Romorantin-Lanthenay;47.35;1.74;01/10/2026;6;AVERSES;20.6;14.2
Romorantin-Lanthenay;47.35;1.74;02/10/2026;0;SOLEIL;20.9;9.5
Romorantin-Lanthenay;47.35;1.74;03/10/2026;0;SOLEIL;22.2;7.2
Vendôme;47.79;1.06;26/09/2026;2;NUAGEUX;25.9;13.6
Vendôme;47.79;1.06;27/09/2026;5;SOLEIL VOILÉ;29.2;11.7
Vendôme;47.79;1.06;28/09/2026;5;SOLEIL VOILÉ;24.6;15.4
Vendôme;47.79;1.06;29/09/2026;2;NUAGEUX;29;14.2
Vendôme;47.79;1.06;30/09/2026;2;NUAGEUX;25.7;16.5
Vendôme;47.79;1.06;01/10/2026;6;AVERSES;20.6;14.2
Vendôme;47.79;1.06;02/10/2026;0;SOLEIL;20.7;10.1
Vendôme;47.79;1.06;03/10/2026;0;SOLEIL;22.1;8.7
Montargis;47.99;2.73;26/09/2026;2;NUAGEUX;26.2;11.6
Montargis;47.99;2.73;27/09/2026;5;SOLEIL VOILÉ;31;12
Montargis;47.99;2.73;28/09/2026;5;SOLEIL VOILÉ;28.5;14.6
Montargis;47.99;2.73;29/09/2026;2;NUAGEUX;29.7;15.4
Montargis;47.99;2.73;30/09/2026;2;NUAGEUX;27.1;17.7
Montargis;47.99;2.73;01/10/2026;6;AVERSES;21.4;16.4
Montargis;47.99;2.73;02/10/2026;7;PLUIE FAIBLE;21.1;11.1
Montargis;47.99;2.73;03/10/2026;0;SOLEIL;22.6;9.5
Pithiviers;48.17;2.25;26/09/2026;2;NUAGEUX;25;13.1
Pithiviers;48.17;2.25;27/09/2026;5;SOLEIL VOILÉ;29.6;12.6
Pithiviers;48.17;2.25;28/09/2026;5;SOLEIL VOILÉ;28.7;15.1
Pithiviers;48.17;2.25;29/09/2026;2;NUAGEUX;29.1;15.7
Pithiviers;48.17;2.25;30/09/2026;2;NUAGEUX;26.7;17.6
Pithiviers;48.17;2.25;01/10/2026;6;AVERSES;20.7;15.6
Pithiviers;48.17;2.25;02/10/2026;0;SOLEIL;20.6;11.4
Pithiviers;48.17;2.25;03/10/2026;0;SOLEIL;22.1;10.2
